Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
Catalina Plan in Inspiration - Peak Series by Pulte Homes,3 Beds,2 Baths,"2,669 sqft",Year Built: 2023,No Info,"$539,990+",Albuquerque
1413 Tiffany Ln SE,5 Beds,3 Baths,"2,330 sqft",Year Built: 2001,Garage,"$448,000",Albuquerque
2908 Maplewood Dr SW,3 Beds,1 Bath,"1,622 sqft (on 0.49 acres)",Year Built: 1973,Garage,"$309,900",Albuquerque
348 Terra Vista Trl SE,4 Beds,3 Baths,"2,429 sqft",Year Built: 2005,2 Car Garage,"$387,000",Albuquerque
The Stout Plan in Mesa Del Sol by Abrazo Homes,3 Beds,3 Baths,"2,593 sqft",Year Built: 2023,No Info,"$450,990+",Albuquerque
6409 Los Cantos Ave NW,3 Beds,3 Baths,"1,742 sqft",Year Built: 2016,2 Car Garage,"$415,000",Albuquerque
La Paz Plan in Las Residencias by Abrazo Homes,3 Beds,2 Baths,"1,410 sqft",Year Built: 2023,No Info,"$339,970+",Albuquerque
Sanctuary Plan in Del Webb at Mirehaven by Del Webb,2 Beds,2 Baths,"1,708 sqft",Year Built: 2023,No Info,"$500,000+",Albuquerque
12205 Camelot Pl NE,4 Beds,3 Baths,"3,579 sqft (on 0.27 acres)",Year Built: 1998,3 Car Garage,"$925,000",Albuquerque
10204 Keeping Dr NW,6 Beds,3 Baths,"3,008 sqft (on 0.35 acres)",Year Built: 1973,2 Car Garage,"$535,000",Albuquerque
4301 Chinlee Ave NE,4 Beds,3 Baths,"3,929 sqft (on 0.38 acres)",Year Built: 1963,2 Car Garage,"$830,000",Albuquerque
8909 Winncrest Trl NW,5 Beds,3 Baths,"3,509 sqft",Year Built: 2006,3 Car Garage,"$500,000",Albuquerque
Plan 3013 - The Sophia in Los Diamantes by D.R. Horton - Albuquerque,3 Beds,2 Baths,"1,420 sqft",Year Built: 2023,No Info,"$340,990+",Albuquerque
Verbena Plan in Inspiration - Apex Series by Pulte Homes,2 Beds,2 Baths,"1,567 sqft",Year Built: 2023,No Info,"$379,990+",Albuquerque
11812 Badger Mountain Trl  NW,4 Beds,4 Baths,"2,786 sqft",Year Built: 2021,2 Car Garage,"$572,000",Albuquerque
3150 Rio Bravo Blvd SW,3 Beds,3 Baths,"2,826 sqft (on 1.49 acres)",Year Built: 1997,3 Car Garage,"$599,900",Albuquerque
8300 Rio Grande Blvd NW,5 Beds,5 Baths,"4,054 sqft (on 1.01 acres)",Year Built: 1969,2 Car Garage,"$1,050,000",Albuquerque
592 Elk Dr SE,2 Beds,2 Baths,962 sqft,Year Built: 2021,1 Carport Spaces,"$80,000",Albuquerque
1119 Stover Ave SW,3 Beds,2 Baths,"1,500 sqft",Year Built: 1921,No Info,"$400,000",Albuquerque
918 Turquesa Rd,4 Beds,2 Baths,"2,132 sqft",Year Built: 2023,2 Car Garage,"$515,647",Albuquerque
2008 Silver Dollar St SE,4 Beds,2 Baths,"1,847 sqft",Year Built: 2019,2 Car Garage,"$425,000",Albuquerque
Rr Estates B33 L62 #10,,,,,No Info,"$55,000",Albuquerque
6525 Kimmick Dr   NW #17,,,,,No Info,"$105,000",Albuquerque
935 Turquesa Loop SE,4 Beds,3 Baths,"2,597 sqft",Year Built: 2023,3 Car Garage,"$573,949",Albuquerque
6305 Castle Dome Pl NW,3 Beds,3 Baths,"2,008 sqft",Year Built: 1999,2 Car Garage,"$349,000",Albuquerque
Excalibur Lots 46 47 48 49 St,,,,,No Info,"$30,000",Albuquerque
5621 Wayne Rd NW,3 Beds,2 Baths,"1,718 sqft (on 0.33 acres)",Year Built: 1973,Garage,"$425,000",Albuquerque
926 Turquesa Loop SE,3 Beds,2 Baths,"1,790 sqft",Year Built: 2023,2 Car Garage,"$450,000",Albuquerque
6301 Alpenglow Trl NE,5 Beds,4 Baths,"3,146 sqft",Year Built: 2019,Garage,"$689,900",Albuquerque
5671 University Blvd SE,3 Beds,3 Baths,"2,103 sqft",Year Built: 2013,Garage,"$389,000",Albuquerque
809 Ortiz Dr NE,2 Beds,2 Baths,"1,961 sqft",Year Built: 1950,1 Car Garage,"$310,000",Albuquerque
7411 La Morada Pl   NW,,,,,No Info,"$432,000",Albuquerque
11005 Retanas Pl NW,4 Beds,3 Baths,"2,053 sqft",Year Built: 2017,2 Car Garage,"$384,900",Albuquerque
6923 Ivy Pl SW,3 Beds,2 Baths,"1,368 sqft",Year Built: 1984,1 Car Garage,"$184,900",Albuquerque
3108 Monte Vista Blvd NE,1 Bed,2 Baths,"1,657 sqft",Year Built: 1940,No Info,"$525,000",Albuquerque
Stella Plan in Inspiration - Peak Series by Pulte Homes,3 Beds,2 Baths,"2,189 sqft",Year Built: 2023,No Info,"$457,990+",Albuquerque
The Loreto Plan in Las Residencias by Abrazo Homes,3 Beds,3 Baths,"2,102 sqft",Year Built: 2023,No Info,"$395,970+",Albuquerque
Indigo Plan in Lavender Fields by Amreston Homes,3 Beds,3 Baths,"1,918 sqft",Year Built: 2023,Garage,"$514,950+",Albuquerque
Trento Plan in Mesa del Sol by Pulte Homes,3 Beds,3 Baths,"2,597 sqft",Year Built: 2023,No Info,"$445,990+",Albuquerque
6407 Thunderbird Cir NW,3 Beds,2 Baths,"2,137 sqft (on 0.33 acres)",Year Built: 1993,2 Car Garage,"$450,000",Albuquerque
1805 9th Ave  NW,,,,,No Info,"$60,000",Albuquerque
9912 Benton St NW,4 Beds,3 Baths,"3,080 sqft",Year Built: 2002,3 Car Garage,"$500,000",Albuquerque
5340 Ridge Rock Ave NW,4 Beds,3 Baths,"3,302 sqft",Year Built: 2003,3 Car Garage,"$419,900",Albuquerque
8709 Sugarite Trl NE,4 Beds,3 Baths,"3,194 sqft",Year Built: 2020,3 Car Garage,"$725,000",Albuquerque
4332 La Paloma Rd NW,4 Beds,3 Baths,"2,523 sqft",Year Built: 1994,2 Car Garage,"$455,200",Albuquerque
2222 Henry Rd SW,5 Beds,2 Baths,"2,593 sqft (on 1 acre)",Year Built: 2009,No Info,"$575,000",Albuquerque
5215 Newberry Way NW,5 Beds,5 Baths,"3,305 sqft",Year Built: 2005,2 Car Garage,"$625,000",Albuquerque
9510 Signal Ave NE,3 Beds,3 Baths,"2,154 sqft (on 0.89 acres)",Year Built: 1996,4 Car Garage,"$725,000",Albuquerque
7508 La Madera Rd NE,4 Beds,3 Baths,"2,718 sqft (on 0.27 acres)",Year Built: 1972,2 Car Garage,"$575,000",Albuquerque
4101 Waterwillow Pl NW,,,,,No Info,"$350,000",Albuquerque
721 Cagua Dr NE,3 Beds,2 Baths,"1,695 sqft",Year Built: 1958,2 Carport Spaces,"$319,000",Albuquerque
8005 Pickard Ave NE,4 Beds,3 Baths,"2,589 sqft",Year Built: 1966,2 Car Garage,"$460,000",Albuquerque
