Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
7254 Shoreline Dr #130,2 Beds,2 Baths,997 sqft,Year Built: 1990,1 Car Garage,"$849,000",San Diego
2562 Baily Ave,4 Beds,3 Baths,"1,754 sqft",Year Built: 1958,Garage,"$849,000",San Diego
12162 Rancho Bernardo Rd,2 Beds,2 Baths,"1,182 sqft",Year Built: 1984,Garage,"$579,000",San Diego
12110 Wooded Vista Ln,5 Beds,3 Baths,"3,039 sqft",Year Built: 1996,3 Car Garage,"$1,550,000",San Diego
10494 Brooktree Ter,4 Beds,2 Baths,"2,064 sqft",Year Built: 1983,2 Car Garage,"$1,495,000",San Diego
4642 Felton St #2,2 Beds,1 Bath,720 sqft,Year Built: 1981,Garage,"$575,000",San Diego
2836 30th St,2 Beds,1 Bath,"1,206 sqft",Year Built: 1913,1 Car Garage,"$1,165,000",San Diego
4128 Orange Ave,2 Beds,2 Baths,784 sqft,Year Built: 1926,1 Car Garage,"$729,000",San Diego
5253 Countryside Dr,5 Beds,4 Baths,"3,267 sqft (on 0.27 acres)",Year Built: 1965,2 Car Garage,"$1,399,900",San Diego
2336 Sumac Dr,5 Beds,3 Baths,"2,112 sqft",Year Built: 1965,1 Car Garage,"$1,000,000",San Diego
5922 Flipper Dr,4 Beds,2 Baths,"1,196 sqft",Year Built: 1977,2 Car Garage,"$749,000",San Diego
14676 Via Fiesta #4,2 Beds,1 Bath,732 sqft,Year Built: 2004,Garage,"$304,146",San Diego
2856-62 Franklin Ave,8 Beds,4 Baths,"3,210 sqft",Year Built: 1955,No Info,"$2,000,000",San Diego
2732 Via Alta Pl,3 Beds,4 Baths,"1,774 sqft (on 6.80 acres)",Year Built: 2021,2 Car Garage,"$1,395,000",San Diego
6753-59 N  Elman St   #12064126,Studio,,,Year Built: 2023,No Info,"$2,700,000",San Diego
8813 Betelgeuse Way,3 Beds,2 Baths,"1,405 sqft",Year Built: 1972,2 Car Garage,"$925,000",San Diego
1500 Orange Ave  #44,2 Beds,2 Baths,"1,498 sqft",Year Built: 2022,Garage,"$3,650,000",San Diego
3980 8th Ave #107,1 Bed,1 Bath,641 sqft,Year Built: 1972,Garage,"$499,000",San Diego
13263 Rancho Penasquitos Blvd #K208,2 Beds,1 Bath,750 sqft,Year Built: 1992,Garage,"$498,000",San Diego
3778 50th St #15,1 Bed,1 Bath,576 sqft,Year Built: 1979,Garage,"$320,000",San Diego
2586 Azure Coast Dr,4 Beds,3 Baths,"2,332 sqft (on 0.47 acres)",Year Built: 1966,2 Car Garage,"$2,495,000",San Diego
5021 Litchfield Rd,3 Beds,3 Baths,"2,543 sqft",Year Built: 1988,2 Car Garage,"$1,750,000",San Diego
4820 Santa Cruz Ave #4,3 Beds,3 Baths,"1,334 sqft",Year Built: 1993,2 Car Garage,"$1,250,000",San Diego
4731 El Cerrito Pl,4 Beds,2 Baths,"2,146 sqft",Year Built: 1955,2 Car Garage,"$1,175,000",San Diego
1763 Sunset Blvd,5 Beds,4 Baths,"2,310 sqft",Year Built: 1916,Garage,"$2,099,900",San Diego
700 Front St #1508,1 Bed,2 Baths,"1,200 sqft",Year Built: 1986,Garage,"$805,000",San Diego
17860 Creciente Way,4 Beds,3 Baths,"2,353 sqft",Year Built: 1986,2 Car Garage,"$1,395,000",San Diego
5055 Collwood Blvd #210,2 Beds,2 Baths,971 sqft,Year Built: 1974,Garage,"$545,000",San Diego
3219 Polk Ave,2 Beds,1 Bath,722 sqft,Year Built: 1927,Garage,"$714,990",San Diego
3717 Caminito Carmel Lndg,3 Beds,3 Baths,"1,368 sqft",Year Built: 1985,1 Car Garage,"$985,000",San Diego
1270 Cleveland Ave #E144,2 Beds,2 Baths,"1,028 sqft",Year Built: 1991,Garage,"$749,000",San Diego
330 Brookes Ave,4 Beds,2 Baths,"1,920 sqft",Year Built: 2003,Garage,"$1,585,000",San Diego
