Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,Price/Sqft
9000 Cambrils Dr,4,2,2225,2023,yes,552240,Albuquerque,248.2
224 Hermosa Dr SE,5,3,3538,1962,yes,675000,Albuquerque,190.79
Manzanita Plan in Inspiration - Peak Series by Pulte Homes,3,2,1997,2023,no,445990,Albuquerque,223.33
Taos Plan in Lavender Fields by Amreston Homes,3,3,2184,2023,yes,529950,Albuquerque,242.65
Tifton Walk Plan in Mesa del Sol by Pulte Homes,3,2,1968,2023,no,383990,Albuquerque,195.12
10656 Aspiration Ln,3,2,1564,2022,yes,324900,Albuquerque,207.74
12100 Badger Mountain Trl  NW,3,2,1755,2023,yes,425000,Albuquerque,242.17
12004 Trail Ct   NW,3,3,2480,2023,yes,490000,Albuquerque,197.58
12012 Kachina Peak Trl  NW,3,2,2183,2023,yes,560000,Albuquerque,256.53
11800 N  Star Trl  NW,4,4,2728,2023,yes,570000,Albuquerque,208.94
12109 Echo Valley Ln   NW,4,3,2708,2023,yes,545641,Albuquerque,201.49
12115 Echo Valley Ln   NW,3,2,1755,2023,yes,436261,Albuquerque,248.58
7201 Johnny Lee Ln,5,3,3049,2023,yes,799900,Albuquerque,262.35
The Ixtapa Plan in Las Residencias by Abrazo Homes,3,2,1503,2023,no,352970,Albuquerque,234.84
Azure Plan in Lavender Fields by Amreston Homes,4,3,2084,2023,yes,532950,Albuquerque,255.73
3339 Central Ave  NE #321,2,3,1651,2009,yes,529000,Albuquerque,320.41
1553 Dennison Rd SW,3,1,898,1946,no,136500,Albuquerque,152.0
14112 Arcadia Rd NE,3,2,2626,1977,yes,598995,Albuquerque,228.1
12000 Badger Mountain Trl  NW,3,2,1567,2023,yes,400000,Albuquerque,255.26
8015 Agua Fria Ct NW,4,3,2669,2023,yes,725000,Albuquerque,271.64
12008 Echo Valley Ln   NW,4,3,2708,2023,yes,500000,Albuquerque,184.64
1201 Cortez Dr SW,5,3,2686,1960,yes,300000,Albuquerque,111.69
7300 Ottawa Rd NE,6,4,3079,1959,no,415000,Albuquerque,134.78
8004 Creekwood Ave NW,4,4,2785,1996,yes,385000,Albuquerque,138.24
7112 Pan American Fwy NE #57,2,2,910,1976,no,24900,Albuquerque,27.36
621 Niagara Ave NE,5,3,3105,1992,yes,575000,Albuquerque,185.19
10412 Royal Birkdale NE,4,3,4433,1995,yes,960000,Albuquerque,216.56
Patagonia Plan in Inspiration - Peak Series by Pulte Homes,3,3,3139,2023,no,577990,Albuquerque,184.13
Fifth Avenue Plan in Inspiration - Apex Series by Pulte Homes,3,3,2383,2023,no,424990,Albuquerque,178.34
The Zaha Plan in Ascension by Abrazo Homes,3,3,2847,2023,no,763500,Albuquerque,268.18
920A Pacific Ave  SW,2,2,995,2023,no,295000,Albuquerque,296.48
8317 Fairmont Dr NW,3,2,1750,1991,yes,370000,Albuquerque,211.43
405 Ridge Pl   NE,3,2,1621,2002,yes,415000,Albuquerque,256.01
9808 Inniskillin Ave SW,5,4,2923,2006,yes,370000,Albuquerque,126.58
402 Hudson Ave NW,2,1,1016,1951,yes,145000,Albuquerque,142.72
1720 Avenida Real NW,3,3,1764,2005,yes,297500,Albuquerque,168.65
234 Texas St NE,1,1,1080,1946,yes,180000,Albuquerque,166.67
3508 Saint Andrews Dr SE,4,5,4926,1976,yes,725000,Albuquerque,147.18
2907 Sierra Dr NE,3,2,1633,1950,yes,365000,Albuquerque,223.52
1011 Ridgecrest Dr SE,3,2,2280,1950,yes,575000,Albuquerque,252.19
915 Lazuli Rd,3,2,2053,2023,yes,500000,Albuquerque,243.55
911 Turquesa Loop SE,3,3,2597,2023,yes,600000,Albuquerque,231.04
9519 Valletta Ave NW,5,4,3081,2005,yes,375000,Albuquerque,121.71
2115 Lead Ave SE,2,1,1354,1930,yes,325000,Albuquerque,240.03
617 Sierra Verde Way NE,5,4,4452,2014,yes,765000,Albuquerque,171.83
1908 Bryn Mawr Pl NE,3,2,1823,1952,yes,499900,Albuquerque,274.22
Wildflower Plan in Rainbow Canyon by Centex Homes,2,2,1239,2023,no,318990,Albuquerque,257.46
7112 Dellwood Rd NE,4,2,2211,1962,yes,424000,Albuquerque,191.77
7701 Kentwood Ave NW,4,2,1606,2000,yes,345000,Albuquerque,214.82
2921 Santa Monica Ave SE,3,3,2139,1944,yes,390000,Albuquerque,182.33
1600 Catron Ave SE,4,3,2819,1979,yes,510000,Albuquerque,180.92
6405 Sonrisa Pl NE,4,3,2366,2000,yes,455000,Albuquerque,192.31
2001 Gold Ave SE #11,1,2,913,1940,no,234000,Albuquerque,256.3
1417 21st Ave SE,5,5,3622,2022,yes,1300000,Albuquerque,358.92
6951 Forest Hills Dr NE,3,2,1780,1993,yes,439900,Albuquerque,247.13
607 Turmalina Dr,3,2,1420,2023,yes,363690,Albuquerque,256.12
8736 Abierto Vista Cir NW,4,4,3718,2017,yes,585000,Albuquerque,157.34
6705 Upper Canyon Ct NW,5,3,2872,2002,yes,417000,Albuquerque,145.19
324 Pinnacle Dr SE,5,4,4415,2006,yes,875000,Albuquerque,198.19
2532 Acequia Dr SW,4,2,2890,2023,yes,679000,Albuquerque,234.95
4322 Prince St SE,4,2,1852,1955,yes,344000,Albuquerque,185.75
919 2nd St SW,3,3,1554,2008,yes,310000,Albuquerque,199.49
Cimarron Plan in Inspiration - Peak Series by Pulte Homes,5,4,4267,2023,no,644990,Albuquerque,151.16
723 Stetson Dr SW,3,2,1354,1996,yes,249950,Albuquerque,184.6
12452 Towner Ave NE,5,3,3115,1971,yes,499000,Albuquerque,160.19
935 Molten Pl NW,3,3,1890,2006,yes,344000,Albuquerque,182.01
1405 Arizona St NE,4,2,2500,1958,yes,250000,Albuquerque,100.0
6108 Dasburg Dr,4,4,2780,2023,yes,568106,Albuquerque,204.35
6113 Dasburg Dr   SE,5,4,3045,2023,yes,611457,Albuquerque,200.81
6061 Nauman Dr,3,2,1805,2023,yes,425000,Albuquerque,235.46
6113 Nauman Dr   SE,3,3,2597,2023,yes,565791,Albuquerque,217.86
Sapphire Plan in Lavender Fields by Amreston Homes,4,3,3047,2023,yes,633950,Albuquerque,208.06
The Marion Plan in Ascension by Abrazo Homes,3,3,2626,2023,no,755220,Albuquerque,287.59
Parklane Plan in Inspiration - Peak Series by Pulte Homes,3,2,2455,2023,no,470990,Albuquerque,191.85
Brownstone Plan in Mesa del Sol by Pulte Homes,2,2,1631,2023,no,357990,Albuquerque,219.49
8917 Cherry Hills Rd NE,4,3,2407,1986,yes,479900,Albuquerque,199.38
224 Atrisco Vista Blvd SW #303,3,2,1216,1996,no,89000,Albuquerque,73.19
2639 Stryker Rd SE,3,3,2390,2019,yes,525000,Albuquerque,219.67
301 Central Ave  NE #107,0,1,931,1914,no,219000,Albuquerque,235.23
4636 Mi Cordelia Dr NW,3,2,2264,2006,yes,530000,Albuquerque,234.1
1419 Coal Ave SW,4,4,2470,2015,yes,559000,Albuquerque,226.32
6116 Dasburg Dr   SE,4,2,2105,2023,yes,480908,Albuquerque,228.46
6109 Nauman Dr   SE,4,2,2105,2023,yes,481986,Albuquerque,228.97
6125 Nauman Dr,4,2,2105,2023,yes,464197,Albuquerque,220.52
1426 Phoenix Ave NW,5,6,3555,1940,no,269000,Albuquerque,75.67
12124 Nashua Rd SE,3,3,2731,2012,yes,469000,Albuquerque,171.73
907 Silver Ave SW,5,6,3806,1911,yes,750000,Albuquerque,197.06
9304 Holbrook St NE,4,3,2740,1994,yes,735000,Albuquerque,268.25
823 William St   SE,1,2,1840,1969,no,89000,Albuquerque,48.37
4912 Calle De Luna NE,5,3,3068,1982,yes,639900,Albuquerque,208.57
106 Calle Playa Del Sol NE,3,3,1482,1978,yes,267900,Albuquerque,180.77
8501 Vista Estrella Ln SW,3,2,1224,2000,yes,290000,Albuquerque,236.93
10512 Redbud St NW,3,3,2440,2020,yes,535000,Albuquerque,219.26
2818 Cipres Ln SE,4,4,2960,2012,yes,529000,Albuquerque,178.72
The Cabo Plan in Las Residencias by Abrazo Homes,3,3,2416,2023,no,422970,Albuquerque,175.07
4616 Mahonia Rd NW,3,2,1429,1989,no,284900,Albuquerque,199.37
4809 Valle Rio Trl NW,5,4,4224,2014,yes,1350000,Albuquerque,319.6
Santa Fe Plan in Lavender Fields by Amreston Homes,4,3,1915,2023,yes,488950,Albuquerque,255.33
1501 Via Virane Dr SE,4,3,3314,2008,yes,530000,Albuquerque,159.93
617 Luna Blvd NW,4,2,2079,1921,yes,485000,Albuquerque,233.29
11208 Country Clb NE,4,3,3102,1989,yes,750000,Albuquerque,241.78
10551 Signal Ave NE,7,5,5916,1994,yes,1125000,Albuquerque,190.16
11019 Miravista Pl SE,3,2,1278,2003,yes,265000,Albuquerque,207.36
725 Dolores Dr NW,3,2,1246,1969,yes,275000,Albuquerque,220.71
3127 Rio Plata Dr SW,4,3,2125,2007,yes,339900,Albuquerque,159.95
853 Fraser Dr SE,3,2,1700,2023,yes,490000,Albuquerque,288.24
11009 Opalo Dr NW,3,2,1653,2014,yes,364000,Albuquerque,220.21
1809 Sunset St SE,3,2,1893,2023,yes,543221,Albuquerque,286.96
6304 Canterbury NE,2,2,1563,1993,yes,450000,Albuquerque,287.91
1019 Cerro Vista Rd SW,3,2,1230,1946,no,295000,Albuquerque,239.84
9228 Bear Lake Way NW,2,2,2035,2015,yes,530000,Albuquerque,260.44
13200 Strada Tuscano NE,3,3,2504,2007,yes,510000,Albuquerque,203.67
3525 Newcastle Dr SE,5,3,3111,2001,yes,575000,Albuquerque,184.83
4401 Cuarzo Ave NW,5,3,2046,1998,yes,369000,Albuquerque,180.35
1924 Girard Blvd NE,5,3,3600,1946,yes,650000,Albuquerque,180.56
7921 Woodleaf Dr NE,2,2,1575,1985,yes,349000,Albuquerque,221.59
712 Sandy Dr NW,3,3,2492,2006,yes,370000,Albuquerque,148.48
729 Adobe Rd NW,5,5,5214,1930,yes,1200000,Albuquerque,230.15
417 2nd St SW,3,2,1360,1999,yes,307900,Albuquerque,226.4
1810 Florida St NE,3,2,1737,1951,no,359000,Albuquerque,206.68
200 16th St   SW,4,5,4911,1946,yes,1450000,Albuquerque,295.26
8443 Bella Vista Pl NW,4,4,3336,1994,yes,525000,Albuquerque,157.37
11005 Bridgepointe Ct NE,4,4,3434,1994,yes,795000,Albuquerque,231.51
5000 4th St SW,4,3,2943,1962,yes,349000,Albuquerque,118.59
901 Wind River St SE,4,3,2907,1995,yes,475000,Albuquerque,163.4
1619 Elfego Baca Dr SW,3,2,1440,1962,yes,268000,Albuquerque,186.11
2600 Veranda Rd NW,3,2,2300,1956,yes,799990,Albuquerque,347.82
9620 2nd St NW,2,1,1048,1950,no,399999,Albuquerque,381.68
1321 Van Cleave Rd NW,3,2,2370,2023,yes,699000,Albuquerque,294.94
10156 Masters Dr NE,5,6,6362,1993,yes,1400000,Albuquerque,220.06
1325 Van Cleave Rd   NW,3,2,2370,2023,yes,699000,Albuquerque,294.94
10031 Guadalupe Trl  NW #A,3,2,1467,1970,no,295000,Albuquerque,201.09
3317 Llano Vista Loop NE,4,4,3213,2016,yes,549900,Albuquerque,171.15
1721 Silver Ave SE,2,1,1722,1921,no,385000,Albuquerque,223.58
1609 Aztec Sun Ct   SE,3,3,2567,2023,yes,650000,Albuquerque,253.21
7400 Shaheen Ct NE,4,3,2850,2008,yes,625000,Albuquerque,219.3
609 10th St NE,4,3,2498,2009,yes,549900,Albuquerque,220.14
3140 June St NE,3,3,2141,1969,yes,399500,Albuquerque,186.6
1307 Camino Amparo NW,4,5,4034,1984,yes,769900,Albuquerque,190.85
1521 55th St NW,4,3,2632,1969,no,250000,Albuquerque,94.98
2505 Maiden Grass Rd NW,4,4,2544,2001,yes,435000,Albuquerque,170.99
839 Mesa Roja Trl NE,4,4,3219,2016,yes,675000,Albuquerque,209.69
4603 Clay St SE,3,2,2090,1995,no,299900,Albuquerque,143.49
7108 Bellrose Ave NE,4,2,2001,1960,yes,405000,Albuquerque,202.4
5036 Fairfax Dr NW,4,3,2432,1972,yes,374900,Albuquerque,154.15
290 Fleet Rd   NE,4,3,2356,2022,yes,545290,Albuquerque,231.45
600 Solano Dr SE,4,3,3011,1953,yes,738000,Albuquerque,245.1
5813 Alta Monte Ave NE,3,2,1766,1953,no,339900,Albuquerque,192.47
815 Mountain Rd NW,3,2,2742,1916,no,499000,Albuquerque,181.98
2324 Bates Well Ln NW,2,2,1891,2018,yes,496508,Albuquerque,262.56
9304 Black Farm Ln NW,3,3,3100,2006,yes,1060000,Albuquerque,341.94
8005 Merissa Ln NE,3,3,2580,2006,yes,725000,Albuquerque,281.01
2108 Willow Canyon Trl NW,2,2,1835,2017,yes,525000,Albuquerque,286.1
3904 Alamogordo Dr NW,3,3,2450,2004,yes,725000,Albuquerque,295.92
1100 Alvarado Dr SE #308,2,2,850,1965,no,139000,Albuquerque,163.53
1017 Girard Blvd NE,4,2,2273,1963,no,569000,Albuquerque,250.33
2212 Las Brisas Cir SE,4,2,2314,2008,yes,450000,Albuquerque,194.47
2917 Kiva Vw NE,4,4,3435,2016,yes,774000,Albuquerque,225.33
5115 Hattiesburg Ave NW,3,2,2168,1988,yes,385000,Albuquerque,177.58
9815 Lorelei Ln NE,3,2,1910,1979,yes,467000,Albuquerque,244.5
2305 Chuckwalla Spring Trl NW,2,2,1835,2019,yes,521900,Albuquerque,284.41
10924 Lagrange Park Dr NE,4,3,2216,1991,yes,465000,Albuquerque,209.84
7112 Pan American Fwy NE #181,3,2,912,2023,yes,79995,Albuquerque,87.71
7112 Pan American East Fwy  NE #18,2,2,1164,2002,yes,89900,Albuquerque,77.23
2600 New York Ave NW #55,3,2,1216,1993,yes,62900,Albuquerque,51.73
7112 Pan American Fwy NE #161,2,2,1440,1994,yes,84500,Albuquerque,58.68
1449 Wagon Train Dr SE,3,2,2405,1984,yes,450000,Albuquerque,187.11
800 Salida Sandia SW,6,7,12262,1989,yes,2400000,Albuquerque,195.73
4915 Camino De Monte NE,4,3,2835,1981,yes,729000,Albuquerque,257.14
1100 Palomas Dr   SE #1104,2,1,7720,1955,no,925488,Albuquerque,119.88
Starwood Plan in Inspiration - Peak Series by Pulte Homes,4,3,3491,2023,no,540990,Albuquerque,154.97
504 Tassy Ct SE,4,3,2283,1978,yes,334999,Albuquerque,146.74
3820 Tallado Ct   NW,3,2,1494,2023,yes,394900,Albuquerque,264.32
1919 Edith Blvd SE,5,2,1876,1944,no,290000,Albuquerque,154.58
8719 Jet Stream Rd NW,4,4,2765,2018,yes,459000,Albuquerque,166.0
6621 Briarcliff NE,4,3,3824,1992,yes,712000,Albuquerque,186.19
3017 Matador Dr NE,4,3,2417,1970,yes,565000,Albuquerque,233.76
3859 Montgomery Blvd NE #1334,2,2,950,1972,no,140000,Albuquerque,147.37
2800 Vail Ave  SE #102,0,1,400,1974,no,75000,Albuquerque,187.5
1403 Ridgecrest Loop SE,5,3,3878,1970,yes,515000,Albuquerque,132.8
5501 Darlington Pl NW,4,3,3087,2005,yes,400000,Albuquerque,129.58
10605 Calle Merida NW,4,3,2330,2005,yes,370000,Albuquerque,158.8
299 Fleet Rd   NE,3,3,2119,2023,yes,487460,Albuquerque,230.04
5021 Cascade Pl NW,5,3,4149,2005,yes,625000,Albuquerque,150.64
8912 Black Sand St,4,2,1907,2023,yes,406995,Albuquerque,213.42
2401 Chelwood Park Blvd NE #A,3,2,1216,2008,yes,224000,Albuquerque,184.21
13805 Serenity Hills Ct SE,3,2,1391,2004,yes,329900,Albuquerque,237.17
13619 Covered Wagon Ave  SE,3,3,1789,2023,yes,375000,Albuquerque,209.61
3127 Truman St NE,4,2,2290,1953,no,384000,Albuquerque,167.69
1430 Franciscan St NE,2,1,839,1935,no,170000,Albuquerque,202.62
1500 Soplo Rd SE,4,3,2829,1976,yes,500000,Albuquerque,176.74
12104 Dan Patch Rd SE,4,4,2709,2007,yes,460000,Albuquerque,169.8
13405 La Arista Pl NE,3,4,4000,2006,yes,1690000,Albuquerque,422.5
8320 Chilte Pine Rd NW,4,3,2650,2010,yes,399990,Albuquerque,150.94
12700 Tomlinson Dr SE,3,2,1840,1978,no,304000,Albuquerque,165.22
9012 Brazos Ridge Cir NW,3,3,2441,2015,yes,499000,Albuquerque,204.42
4 Mill Rd NW,3,2,1954,1980,yes,510000,Albuquerque,261.0
3522 Rio Grande Blvd NW,4,2,2384,1950,no,589999,Albuquerque,247.48
10201 Pandora Ln NW,4,3,2643,1989,yes,409000,Albuquerque,154.75
2732 Puerta Del Bosque Ln NW,3,2,1962,2022,yes,750000,Albuquerque,382.26
7008 Kiowa Ave NE,4,2,2303,1961,yes,425000,Albuquerque,184.54
900 Devon Ln NW,3,4,3777,2017,yes,1450000,Albuquerque,383.9
8409 Trumbull Ave SE,2,1,3300,1972,yes,399900,Albuquerque,121.18
13246 Candelaria Rd NE,3,2,1243,1973,yes,230000,Albuquerque,185.04
6601 Country Hills Ct NW,4,2,1763,2004,yes,342000,Albuquerque,193.99
5991 Calle De Abrevadero NW,3,4,2774,2023,yes,899900,Albuquerque,324.41
118 Dallas St SE,8,4,3200,1978,yes,399900,Albuquerque,124.97
591 Turmalina Dr,3,2,1420,2023,yes,356890,Albuquerque,251.33
2817 Arce Ln SE,5,3,3132,2014,yes,630000,Albuquerque,201.15
4915 Palo Alto Ave SE,3,2,1607,1950,yes,359000,Albuquerque,223.4
13715 Apache Plume Pl NE,6,5,5529,2002,yes,1695000,Albuquerque,306.57
1708 Vista De Colinas Dr SE,4,3,3302,2013,yes,569900,Albuquerque,172.59
8428 Rio Verde Pl NW,4,3,2100,1995,yes,417900,Albuquerque,199.0
Plan 3004 - The Sawyer in Aspire by D.R. Horton - Albuquerque,4,2,1602,2023,no,326990,Albuquerque,204.11
Plan 3019 - The Skylar in Aspire by D.R. Horton - Albuquerque,4,3,1936,2023,no,371990,Albuquerque,192.14
7841 Vista Del Arroyo Ave NE,5,3,3529,1969,yes,590000,Albuquerque,167.19
39 Tierra Monte Dr NE,4,4,4516,1984,yes,1100000,Albuquerque,243.58
2309 Gold Butte Trl NW,2,2,1925,2019,yes,525000,Albuquerque,272.73
7112 Pan American East Fwy  NE #155,3,2,924,1975,yes,39900,Albuquerque,43.18
1805 Pebble Creek Trl NW,2,2,1671,2020,yes,463500,Albuquerque,277.38
307 Fleet Rd   NE,3,3,2119,2023,yes,473915,Albuquerque,223.65
3847 Montgomery Blvd NE #902,2,1,965,1972,no,140000,Albuquerque,145.08
5707 Cletsoway Dr   SW,4,4,2545,2023,yes,575000,Albuquerque,225.93
1500 Rita Dr NE,4,3,2210,1977,yes,549900,Albuquerque,248.82
2832 Sicomoro Ln SE,4,3,2972,2007,yes,560000,Albuquerque,188.43
7739 Cedar Canyon Rd NE,3,2,2335,1992,yes,559000,Albuquerque,239.4
1101 Western Meadows Rd NW,5,3,3704,1963,no,699500,Albuquerque,188.85
1641 Cliffside Dr NW,3,3,2018,1995,yes,360000,Albuquerque,178.39
3329 La Veta Dr NE,2,2,958,1953,no,247000,Albuquerque,257.83
1605 Corte Del Sol NW,3,3,1884,2005,yes,354999,Albuquerque,188.43
3924 Anderson Ave SE,3,2,1513,1950,no,370000,Albuquerque,244.55
217 Silent Spring Dr   NE,4,3,2374,2023,yes,522200,Albuquerque,219.97
726 Tramway Vista Dr NE #12,3,2,2560,1979,yes,580000,Albuquerque,226.56
7250 Whippoorwill Ln NE,4,5,3633,1994,yes,459900,Albuquerque,126.59
2608 Garner Rd SW,4,3,3480,1987,yes,699900,Albuquerque,201.12
11500 Zinfandel Ave NE,5,5,5188,1993,yes,1650000,Albuquerque,318.04
2316 Arroyo Falls St NW,4,3,2761,2006,yes,529900,Albuquerque,191.92
9208 Sugar Creek Ln NW,2,2,1587,2019,yes,450000,Albuquerque,283.55
6619 Rim Rock Cir  NW,3,2,2313,2014,yes,665000,Albuquerque,287.51
7617 Guadalupe Trl NW,4,3,3614,1961,yes,875000,Albuquerque,242.11
11308 Glendale Ave NE,4,5,4667,1986,yes,1100000,Albuquerque,235.7
24 Tierra Monte Ct NE,3,3,3731,1982,yes,1100000,Albuquerque,294.83
5601 Wayne Rd NW,3,2,1750,1973,yes,435000,Albuquerque,248.57
2557 Chessman Dr NE,3,2,2133,2007,yes,525000,Albuquerque,246.13
3820 Beall Ct SW,3,1,1313,1965,yes,265000,Albuquerque,201.83
4501 Atherton Way NW,5,5,4165,2006,yes,829000,Albuquerque,199.04
3863 Montgomery Blvd NE #1502,2,1,1008,1972,no,155000,Albuquerque,153.77
538 Palo Alto Dr NE,4,3,2613,2015,yes,499950,Albuquerque,191.33
9315 Sandia Sunset St NW,3,2,1527,2019,yes,345000,Albuquerque,225.93
3500 Grand Ave NE,4,3,2316,1957,yes,575000,Albuquerque,248.27
8827 Thor Rd SW,3,2,1191,1999,yes,174900,Albuquerque,146.85
1717 Edith Blvd NE,3,3,1782,1901,no,299000,Albuquerque,167.79
12622 Colony Pl NE,3,2,1810,1999,yes,520000,Albuquerque,287.29
500 Aliyah Ln NW,5,6,3816,2006,yes,794900,Albuquerque,208.31
7610 2nd St NW,4,3,3758,1958,yes,629900,Albuquerque,167.62
6905 Rim Rock Cir  NW,4,4,3910,2018,yes,1495000,Albuquerque,382.35
7009 2nd St NW #B,5,3,2870,1964,no,340000,Albuquerque,118.47
7521 Union St NE,4,2,1740,1975,yes,419000,Albuquerque,240.8
Parklane Plan in Los Diamantes by Pulte Homes,3,3,2455,2023,no,495990,Albuquerque,202.03
Preston Plan in Los Diamantes by Pulte Homes,4,3,2862,2023,no,525990,Albuquerque,183.78
Willowbrook Plan in Los Diamantes by Pulte Homes,5,4,3745,2023,no,575990,Albuquerque,153.8
Starwood Plan in Los Diamantes by Pulte Homes,4,4,3491,2023,no,565990,Albuquerque,162.13
7923 Tarragona Rd,4,3,2415,2023,yes,619640,Albuquerque,256.58
10432 Calle Leon NW,5,4,3157,2004,yes,465000,Albuquerque,147.29
1615 Robert Dale Dr NE,4,3,2402,1974,yes,439000,Albuquerque,182.76
7427 Sandmark Rd   NW,4,2,1752,2022,yes,395960,Albuquerque,226.0
2701 San Pancho Rd SW,3,3,2923,1999,yes,795000,Albuquerque,271.98
412 Albor Cir  NE,4,3,2377,2023,yes,625000,Albuquerque,262.94
625 Executive Hills Ln SE,3,3,2219,1996,yes,649000,Albuquerque,292.47
55 Rock Point Pl NE,4,4,4765,1987,yes,1100000,Albuquerque,230.85
9805 Tanoan Dr NE,4,3,3300,1983,yes,979000,Albuquerque,296.67
143 Big Horn Ridge Ct NE,4,4,4800,1991,yes,1490000,Albuquerque,310.42
10627 Buck Island Rd SW,3,3,1804,2008,yes,292500,Albuquerque,162.14
800 Chelwood Park Blvd NE,8,5,3443,1981,no,615000,Albuquerque,178.62
4907 Guadalupe Trl NW,4,4,5393,1989,yes,1500000,Albuquerque,278.14
11700 Arroyo De Vis NE,4,3,1865,1984,yes,424000,Albuquerque,227.35
5713 La Corrida Rd NE,4,3,1513,1954,no,190000,Albuquerque,125.58
830 Apache Ave NW,2,2,1053,1952,yes,210000,Albuquerque,199.43
211 San Clemente Ave NW,4,2,1549,2022,yes,363000,Albuquerque,234.34
1922 High St SE,3,2,1970,1936,yes,395000,Albuquerque,200.51
4100 11th St NW,4,3,2876,1981,yes,400000,Albuquerque,139.08
2617 Mountain Rd NW,4,3,2695,2023,yes,699900,Albuquerque,259.7
3833 Montgomery Blvd NE #524,3,2,1171,1972,no,175000,Albuquerque,149.44
908 Alcazar St   NE #A-D,2,1,3100,1977,yes,765000,Albuquerque,246.77
6805 Tamarisk Pl   NW,3,2,2501,2023,yes,690000,Albuquerque,275.89
4705 Marquette Ave NE,3,2,8160,1962,yes,2200000,Albuquerque,269.61
101 Monte Vista Dr NE,5,4,4174,2008,yes,599000,Albuquerque,143.51
315 Charleston St SE,4,2,1798,1956,yes,265000,Albuquerque,147.39
1105 Marquette Pl NE,3,3,2844,2005,yes,1095000,Albuquerque,385.02
4860 Petra Pointe Cir NW,4,3,2246,2005,yes,437000,Albuquerque,194.57
4615 Pershing Ave SE,3,2,1591,1949,no,364500,Albuquerque,229.1
6531 Papagayo Rd NW,4,4,3480,2020,yes,999000,Albuquerque,287.07
5305 Apollo Dr NW,3,2,1548,1996,yes,229000,Albuquerque,147.93
1521 Eagle Ridge Rd NE,4,6,5684,1988,yes,975000,Albuquerque,171.53
425 Tennessee St SE,3,2,1440,1998,yes,274970,Albuquerque,190.95
Plan 3012 - The Sydney in Los Diamantes by D.R. Horton - Albuquerque,3,2,1289,2023,no,330990,Albuquerque,256.78
Gateway Plan in Los Diamantes by Pulte Homes,2,2,1790,2023,no,431990,Albuquerque,241.34
Manzanita Plan in Los Diamantes by Pulte Homes,3,2,1997,2023,no,449990,Albuquerque,225.33
Yucca Plan in Los Diamantes by Pulte Homes,4,3,2750,2023,no,517990,Albuquerque,188.36
Trento Plan in Los Diamantes by Pulte Homes,3,3,2597,2023,no,508990,Albuquerque,195.99
Brownstone Plan in Los Diamantes by Pulte Homes,2,2,1631,2023,no,415990,Albuquerque,255.05
1504 Buck Ct NW,3,2,2237,2023,yes,579900,Albuquerque,259.23
4392 Lauren Loop,3,2,1746,2023,no,415000,Albuquerque,237.69
4725 San Pedro Dr   NE #17,3,2,1544,1975,yes,323000,Albuquerque,209.2
326 Paint Brush Dr NE,3,3,3911,1973,yes,824000,Albuquerque,210.69
1051 Pinatubo Pl NW,5,4,3758,2005,yes,525000,Albuquerque,139.7
Address Not Disclosed,2,1,3412,1921,no,494900,Albuquerque,145.05
6709 Rim Rock Cir  NW,4,4,2486,2022,yes,645000,Albuquerque,259.45
1004 Madeira Dr SE,6,3,2600,1957,no,350000,Albuquerque,134.62
9000 Zuni Rd SE #F27,3,2,954,1987,no,75000,Albuquerque,78.62
11813 Kachina Peak Trl  NW,4,4,2728,2023,yes,575000,Albuquerque,210.78
5209 Foothills Trl NE,3,3,3043,2007,yes,950000,Albuquerque,312.19
1000 13th St SE,5,3,2630,2008,yes,515000,Albuquerque,195.82
305 Erbbe St NE,3,2,1050,1958,yes,164990,Albuquerque,157.13
4032 Gondola Way,3,3,2037,2023,yes,731905,Albuquerque,359.31
10544 Bitter Creek Dr NW,4,3,2923,2006,yes,439000,Albuquerque,150.19
1305 Bonito Cir SW,3,1,982,1954,yes,200000,Albuquerque,203.67
8608 Downburst Ave NW,3,3,2391,2019,yes,515000,Albuquerque,215.39
5421 Evans Rd SW,3,4,3265,2001,yes,650000,Albuquerque,199.08
330 La Vega Dr SW,10,5,4009,1945,no,688099,Albuquerque,171.64
6405 Guadalupe Pl NW,4,3,2425,1985,yes,625000,Albuquerque,257.73
6705 Rim Rock Cir  NW,4,3,2549,2022,yes,645000,Albuquerque,253.04
6015 Guadalupe Trl NW,3,4,2707,2023,yes,720000,Albuquerque,265.98
1621 Blair Dr NE,4,4,3184,1989,yes,667500,Albuquerque,209.64
400 Wellesley Dr SE,6,4,2976,1954,yes,630000,Albuquerque,211.69
813 Carlisle Blvd NE,3,3,2473,1942,no,365000,Albuquerque,147.59
11804 Badger Mountain Trl  NW,3,2,1785,2021,yes,465000,Albuquerque,260.5
6601 Anaheim Ave NE,2,2,1487,1971,yes,175000,Albuquerque,117.69
9223 Del Webb Ln NW,2,3,2568,2015,yes,700000,Albuquerque,272.59
2316 Penn Ave SE,3,3,1635,2014,yes,375000,Albuquerque,229.36
1720 Silver Ave SE,1,1,2250,1946,no,590594,Albuquerque,262.49
7000 Elena Dr NE,5,8,10244,2020,yes,4400000,Albuquerque,429.52
Plan 3004 - The Sawyer in Los Diamantes by D.R. Horton - Albuquerque,4,2,1602,2023,no,355990,Albuquerque,222.22
1705 Morningside Dr NE,6,5,5720,1965,yes,1389900,Albuquerque,242.99
