Address,Bedrooms,Bathrooms,Area(sqft),Year Built,Parking,Price($),Location,Price/Sqft
6463 Shimmering Creek Dr,4,4,2394,2004,yes,482900,Colorado Springs,201.71
1822 Pejn Ave,3,3,1590,1966,yes,469999,Colorado Springs,295.6
3850 Zurich Dr,3,3,1974,1986,yes,450000,Colorado Springs,227.96
2948 Tenderfoot Hill St,3,4,2808,1985,yes,599000,Colorado Springs,213.32
6877 Simcoe Dr,5,4,3373,2018,yes,625000,Colorado Springs,185.29
6935 Blazing Trail Dr,5,4,2877,1996,yes,515000,Colorado Springs,179.01
8611 Tranquil Knoll Ln,5,4,3582,2017,yes,665000,Colorado Springs,185.65
9188 Baltin Ct,3,3,2570,2020,yes,490000,Colorado Springs,190.66
24 Mayflower Park Pl,4,4,3229,2020,yes,699900,Colorado Springs,216.75
8264 Horn Run Rd,5,4,3161,1996,yes,575000,Colorado Springs,181.9
3907 Smoke Tree Dr,4,3,1840,1986,yes,350000,Colorado Springs,190.22
2021 S  Corona Ave,2,1,796,1952,yes,250000,Colorado Springs,314.07
4427 Dewey Dr,4,2,1824,1970,yes,359900,Colorado Springs,197.31
4940 Beechvale Dr,4,2,1975,1997,yes,439000,Colorado Springs,222.28
7138 Oak Valley Dr,4,3,3027,2001,yes,750000,Colorado Springs,247.77
220 Silver Spring Dr,4,4,2620,1981,yes,655000,Colorado Springs,250.0
2355 Stratton Forest Hts,4,7,9344,2003,yes,3500000,Colorado Springs,374.57
102 Luxury Ln,4,3,2528,1994,yes,430000,Colorado Springs,170.09
6209 Miramont St,3,2,1152,2001,yes,400000,Colorado Springs,347.22
1501 Rosemont Dr,3,2,1366,1958,yes,360000,Colorado Springs,263.54
7627 Red Fir Poin,3,3,1606,2019,yes,365000,Colorado Springs,227.27
9117 Castlebear Dr,3,3,1436,2021,yes,405000,Colorado Springs,282.03
7175 Baker Rd,4,3,2790,1974,yes,800000,Colorado Springs,286.74
7002 Bigtooth Maple Dr,4,3,3316,2021,yes,524900,Colorado Springs,158.29
13940 Westchester Dr,3,3,2202,1983,yes,615000,Colorado Springs,279.29
388 Ellers Grove,3,2,1185,2001,yes,299900,Colorado Springs,253.08
Ethridge Plan in Trailside at Cottonwood Creek by David Weekley Homes,3,3,2005,2023,no,606990,Colorado Springs,302.74
7808 Renegade Hill Dr,5,4,3530,2012,yes,610000,Colorado Springs,172.8
10211 Desert Bloom Way,5,4,2676,2011,yes,475000,Colorado Springs,177.5
5040 Fabray Ln,5,4,2864,1994,yes,485000,Colorado Springs,169.34
3405 Sinton Road  Unit 197,3,2,1456,1977,yes,115000,Colorado Springs,78.98
3003 W  Uintah St,2,1,818,1951,yes,390000,Colorado Springs,476.77
1088 Cree Dr,3,3,2176,1966,yes,380000,Colorado Springs,174.63
11469 Rushpink St,3,3,2166,2023,yes,508170,Colorado Springs,234.61
5463 Cindy River Dr,4,4,2531,2002,yes,510000,Colorado Springs,201.5
514 Lynn Ave,3,1,894,1951,yes,312000,Colorado Springs,348.99
5677 Saint Patrick Vw,2,3,1685,2009,yes,375000,Colorado Springs,222.55
3225 Honeyburyl Dr,5,4,2704,1993,yes,519500,Colorado Springs,192.12
3874 Pioneer Creek Dr,3,3,1839,2002,yes,475000,Colorado Springs,258.29
113 Fordham St,4,2,1794,1962,yes,399000,Colorado Springs,222.41
5216 Rondo Way,4,4,2294,2000,yes,425000,Colorado Springs,185.27
111 Judson St,5,3,2811,1963,yes,454000,Colorado Springs,161.51
5016 Quarto Ln,3,3,1594,1975,yes,344900,Colorado Springs,216.37
423 Ravenview Ct,2,2,1472,1982,yes,334000,Colorado Springs,226.9
1328 Rotterdam Cir,2,1,1068,1983,yes,325000,Colorado Springs,304.31
330 Cobblestone Dr,3,3,2058,1979,yes,425000,Colorado Springs,206.51
12152 Cline Ct,6,6,5694,2020,yes,1350000,Colorado Springs,237.09
Boston Plan in Urban Collection at Palmer Village by Richmond American Homes,3,3,1430,2023,no,379950,Colorado Springs,265.7
5847 Tramore Ct,3,2,1643,2022,yes,435000,Colorado Springs,264.76
321 E  Willamette Ave,2,1,1240,1895,yes,425000,Colorado Springs,342.74
