Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
2579 Memphis St,1 Bed,1 Bath,"1,596 sqft",Year Built: 1875,Open Parking,"$450,000",Philadelphia
2216 Gaul St,2 Beds,3 Baths,"1,080 sqft",Year Built: 1875,Open Parking,"$329,000",Philadelphia
2431 E  Hazzard St,3 Beds,2 Baths,"1,664 sqft",Year Built: 1875Year Renovated: 2023,Open Parking,"$379,000",Philadelphia
2118 E  Huntingdon St,3 Beds,3 Baths,"1,500 sqft",Year Built: 1875,None,"$399,900",Philadelphia
2337 E  Albert St,3 Beds,1 Bath,"1,006 sqft",Year Built: 1925,Open Parking,"$230,000",Philadelphia
2019 N  Carlisle St,7 Beds,7 Baths,"2,116 sqft",Year Built: 1915,None,"$524,999",Philadelphia
2703 W  Berks St,3 Beds,2 Baths,"1,062 sqft",Year Built: 1915,Open Parking,"$159,000",Philadelphia
3948 K St,3 Beds,1 Bath,"1,536 sqft",Year Built: 1925,Open Parking,"$199,900",Philadelphia
7322 Brentwood Rd,3 Beds,4 Baths,"1,621 sqft",Year Built: 1950Year Renovated: 2022,1 Car Garage,"$329,000",Philadelphia
950 Marcella St,3 Beds,2 Baths,"1,628 sqft",Year Built: 1940,1 Open Spaces,"$217,700",Philadelphia
635 Rosalie St,4 Beds,2 Baths,"1,116 sqft",Year Built: 1940,Open Parking,"$219,000",Philadelphia
6301 Lawndale St,3 Beds,3 Baths,"1,296 sqft",Year Built: 1925,1 Car Garage,"$239,888",Philadelphia
1533 Morris St,5 Beds,2 Baths,"1,779 sqft",Year Built: 1915,None,"$319,900",Philadelphia
2212 N  Camac St,8 Beds,4 Baths,"2,586 sqft",Year Built: 1915,Open Parking,"$425,000",Philadelphia
2524 S  Sheridan St,2 Beds,2 Baths,900 sqft,Year Built: 1925Year Renovated: 2020,Open Parking,"$240,000",Philadelphia
2203 S  Clarion St,2 Beds,1 Bath,959 sqft,Year Built: 1940,Open Parking,"$259,999",Philadelphia
2623 S  67th St,3 Beds,2 Baths,"1,260 sqft",Year Built: 1916,Open Parking,"$199,900",Philadelphia
2062 Carver St,2 Beds,1 Bath,966 sqft,Year Built: 1930,Open Parking,"$175,000",Philadelphia
6357 Ditman St,4 Beds,2 Baths,"1,084 sqft",Year Built: 1935Year Renovated: 2022,Open Parking,"$260,000",Philadelphia
7012 Torresdale Ave,4 Beds,1 Bath,"1,600 sqft",Year Built: 1935,2 Open Spaces,"$237,000",Philadelphia
1314 W  Victoria St,,,,,No Info,"$39,900",Philadelphia
