Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
6808 Backcountry,3 Beds,3 Baths,"3,035 sqft",Year Built: 2018,2 Car Garage,"$519,900",Colorado Springs
Gatewood Plan in TimberRidge by Vantage Homes,6 Beds,5 Baths,"4,089 sqft",Year Built: 2023,Garage,"$739,500+",Colorado Springs
2747 Grand Prix Ct,7 Beds,5 Baths,"4,060 sqft",Year Built: 2020,2 Car Garage,"$750,000",Colorado Springs
6321 Bestview Way,5 Beds,4 Baths,"3,359 sqft",Year Built: 1992,2 Car Garage,"$575,000",Colorado Springs
9753 Wando Dr,5 Beds,3 Baths,"3,176 sqft",Year Built: 2018,2 Car Garage,"$489,900",Colorado Springs
6945 Sedgerock Ln,4 Beds,4 Baths,"2,773 sqft",Year Built: 2019,3 Car Garage,"$575,000",Colorado Springs
4347 Susie Vw,2 Beds,3 Baths,"1,316 sqft",Year Built: 2007,2 Car Garage,"$359,000",Colorado Springs
134 Judson St,3 Beds,2 Baths,"1,210 sqft",Year Built: 1963,1 Car Garage,"$365,900",Colorado Springs
6925 Grand Valley Dr,5 Beds,3 Baths,"1,796 sqft",Year Built: 1984,1 Car Garage,"$410,000",Colorado Springs
3490 E  Nonchalant Cir,3 Beds,2 Baths,"1,706 sqft (on 0.28 acres)",Year Built: 1971,2 Car Garage,"$424,900",Colorado Springs
6220 Viewfield Hts,3 Beds,2 Baths,"1,853 sqft",Year Built: 1997,2 Car Garage,"$475,000",Colorado Springs
Boston Plan in Urban Collection at Briargate Square by Richmond American Homes,3 Beds,3 Baths,"1,430 sqft",Year Built: 2023,No Info,"$399,950+",Colorado Springs
Topaz Plan in The Pines at Forest Meadows by Premier Homes Inc.,3 Beds,3 Baths,"1,561 sqft",Year Built: 2023,Garage,"$399,900+",Colorado Springs
11432 Trout Ave,3 Beds,2 Baths,"1,605 sqft",Year Built: 2023,2 Car Garage,"$529,415",Colorado Springs
5227 Roundhouse Dr,3 Beds,3 Baths,"2,166 sqft",Year Built: 2023,2 Car Garage,"$494,890",Colorado Springs
11445 Rushpink St,4 Beds,3 Baths,"2,376 sqft",Year Built: 2023,2 Car Garage,"$534,170",Colorado Springs
11442 Trout Ave,4 Beds,3 Baths,"2,293 sqft",Year Built: 2023,2 Car Garage,"$561,450",Colorado Springs
11452 Trout Ave,2 Beds,2 Baths,"1,697 sqft",Year Built: 2023,2 Car Garage,"$529,690",Colorado Springs
10359 Declaration Dr,4 Beds,3 Baths,"3,388 sqft",Year Built: 2013,3 Car Garage,"$520,000",Colorado Springs
1964 Mineola St #B,2 Beds,2 Baths,960 sqft,Year Built: 1983,No Info,"$267,000",Colorado Springs
1925 Clayhouse Dr,5 Beds,5 Baths,"4,254 sqft",Year Built: 2021,3 Car Garage,"$1,060,000",Colorado Springs
1760 Leoti Drive,5 Beds,3 Baths,"2,308 sqft",Year Built: 1984,1 Car Garage,"$469,900",Colorado Springs
4876 Hillsdale Court,4 Beds,3 Baths,"3,656 sqft (on 0.26 acres)",Year Built: 2003,3 Car Garage,"$775,000",Colorado Springs
4331 N  Carefree Cir,3 Beds,2 Baths,995 sqft,Year Built: 1972,Garage,"$230,000",Colorado Springs
287 Pisano Hts,4 Beds,4 Baths,"3,945 sqft",Year Built: 2000,2 Car Garage,"$949,900",Colorado Springs
Redstone Plan in Red Rocks at Kissing Camels by Toll Brothers,4 Beds,4 Baths,"3,600 sqft",Year Built: 2023,No Info,"$1,041,995+",Colorado Springs
4335 Danceglen Dr,4 Beds,4 Baths,"3,327 sqft (on 0.44 acres)",Year Built: 1999,3 Car Garage,"$825,000",Colorado Springs
411 Lakewood Cir #B530,2 Beds,2 Baths,"1,152 sqft",Year Built: 1974,1 Car Garage,"$239,000",Colorado Springs
1303 Royale Drive,3 Beds,3 Baths,"1,791 sqft",Year Built: 1963,1 Car Garage,"$350,000",Colorado Springs
3084 Starlight Cir,2 Beds,2 Baths,928 sqft,Year Built: 1984,Garage,"$250,000",Colorado Springs
506 Jersey Ln,5 Beds,2 Baths,"1,664 sqft",Year Built: 1969,1 Car Garage,"$385,000",Colorado Springs
370 Cobblestone Dr,Studio,,,Year Built: 1979,No Info,"$375,000",Colorado Springs
2572 Equine Ct,3 Beds,3 Baths,"3,194 sqft",Year Built: 2015,2 Car Garage,"$550,000",Colorado Springs
9247 Wolf Pack Terrace,5 Beds,4 Baths,"3,226 sqft",Year Built: 2000,3 Car Garage,"$620,000",Colorado Springs
6947 Quiet Pond Pl,4 Beds,3 Baths,"4,099 sqft",Year Built: 2004,3 Car Garage,"$650,000",Colorado Springs
6019 Scout Dr,2 Beds,2 Baths,"1,456 sqft",Year Built: 1995,2 Car Garage,"$375,000",Colorado Springs
