Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
1332 Central Ave,,,,Year Built: 2003,2 Car Garage,"$599,000",Indianapolis
,,,,,,,Indianapolis
7314 US Highway 31 S,,,,Year Built: 1951,1 Car Garage,"$324,900",Indianapolis
8820 Rockville Rd,,,,Year Built: 1954,1 Car Garage,"$399,900",Indianapolis
8235 Lockwood Ln,,,,Year Built: 1965,2 Car Garage,"$250,000",Indianapolis
7896 Sergi Canyon Dr,,,,Year Built: 2003,2 Car Garage,"$349,900",Indianapolis
517 Lord St,,,,Year Built: 1910,No Info,"$299,000",Indianapolis
2838 N  Kenwood Ave,,,,Year Built: 1955,Open Parking,"$279,900",Indianapolis
728 Fletcher Ave,,,,Year Built: 1885,None,"$375,000",Indianapolis
1144 Lexington Ave,,,,,No Info,"$150,000",Indianapolis
2226 Central Ave,,,,Year Built: 2023,Garage,"$620,000",Indianapolis
1903 E  Maryland St,,,,Year Built: 2022,No Info,"$340,000",Indianapolis
2553 Pumpkin Patch Ln,,,,Year Built: 2020,2 Car Garage,"$285,000",Indianapolis
435 Virginia Ave #601,,,,Year Built: 2006,2 Car Garage,"$899,900",Indianapolis
7308 Glen Park Ln,,,,Year Built: 2023,1 Car Garage,"$463,990",Indianapolis
626 Stevens St,,,,Year Built: 2019,Garage,"$869,900",Indianapolis
838 Beaumont Ct,,,,Year Built: 1963,2 Car Garage,"$270,000",Indianapolis
1121 N  Grant Ave,,,,Year Built: 1929,Garage,"$89,000",Indianapolis
7131 Avalon Trail Ct,,,,Year Built: 1973,2 Car Garage,"$399,999",Indianapolis
3106 N. Washington Blvd.,,,,Year Built: 1921,No Info,"$499,000",Indianapolis
3032 E  Michigan St,,,,Year Built: 2023,No Info,"$430,000",Indianapolis
,,,,,,,Indianapolis
Exclusives 2699 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$384,000+",Indianapolis
2132 N  Pennsylvania St,,,,Year Built: 2007,Garage,"$469,000",Indianapolis
,,,,,,,Indianapolis
1931 W  New York St,,,,Year Built: 1920,Garage,"$249,900",Indianapolis
2135 N  Dexter St,,,,Year Built: 1915,No Info,"$117,000",Indianapolis
10703 Crell Ct,,,,Year Built: 2009,3 Car Garage,"$395,000",Indianapolis
2944 N  Delaware St,,,,Year Built: 2006,Garage,"$314,900",Indianapolis
8925 Dorill Creek Ln,,,,Year Built: 2023,2 Car Garage,"$424,990",Indianapolis
331 N  Temple Ave,,,,Year Built: 1955,No Info,"$327,500",Indianapolis
McKinley Plan in Edgewood Farms by D.R. Horton - Indianapolis,,,,Year Built: 2023,No Info,"$397,000+",Indianapolis
1018 Saint Paul St,,,,Year Built: 1901,Garage,"$369,900",Indianapolis
8040 N  College Ave,,,,Year Built: 1959,2 Car Garage,"$415,000",Indianapolis
Exclusives 3109 Plan in Parks at Glen Ridge by Pyatt Builders,,,,Year Built: 2023,Garage,"$417,000+",Indianapolis
Legacy 2433 Plan in Highlands at Grassy Creek by Pyatt Builders,,,,Year Built: 2023,Garage,"$309,000+",Indianapolis
1017 Collier St,,,,,No Info,"$24,500",Indianapolis
1449 S  Talbott St,,,,Year Built: 1900,No Info,"$369,900",Indianapolis
1051 Hervey St,,,,Year Built: 1910,No Info,"$209,900",Indianapolis
627 N  Colorado Ave,,,,Year Built: 1920,None,"$230,000",Indianapolis
3612 Schofield Ave,,,,Year Built: 1958,Garage,"$115,000",Indianapolis
2045 Carrollton Ave,,,,Year Built: 1895,Garage,"$454,900",Indianapolis
8561 N  Olde Mill Cir,,,,Year Built: 1983,2 Car Garage,"$550,000",Indianapolis
1265 W  34th St,,,,Year Built: 1920,Garage,"$154,000",Indianapolis
9000 W  16th St,,,,,No Info,"$22,000",Indianapolis
8040 W  16th St,,,,,No Info,"$50,000",Indianapolis
8961 W  16th St,,,,,No Info,"$20,000",Indianapolis
9525 Copley Dr,,,,Year Built: 1957,4 Car Garage,"$1,195,000",Indianapolis
4129 Cornelius Ave,,,,Year Built: 2022,No Info,"$322,900",Indianapolis
Grandover II Plan in Edgewood Farms by D.R. Horton - Indianapolis,,,,Year Built: 2023,No Info,"$373,000+",Indianapolis
10334 Corydon Ct,,,,Year Built: 2010,2 Car Garage,"$382,000",Indianapolis
5 E  71st St,,,,Year Built: 1940,4 Car Garage,"$4,750,000",Indianapolis
829 N  Rural St,,,,Year Built: 1909,No Info,"$230,000",Indianapolis
2032 Lexington Ave,,,,,No Info,"$60,000",Indianapolis
4000 N  Meridian St #8D,,,,Year Built: 1968,1 Car Garage,"$209,000",Indianapolis
1613 Draper St,,,,Year Built: 1915,None,"$255,000",Indianapolis
5216 Central Ave,,,,Year Built: 1930,Garage,"$679,900",Indianapolis
,,,,,,,Indianapolis
2039 N  Delaware St,,,,Year Built: 2016,Garage,"$1,350,000",Indianapolis
Homes Available Soon Plan in Cardinal Grove by D.R. Horton - Indianapolis,,,,Year Built: 2023,No Info,,Indianapolis
1740 S  Randolph St,,,,Year Built: 1926,Garage,"$236,500",Indianapolis
2514-2516 S  Pennsylvania St,,,,Year Built: 1920,No Info,"$145,000",Indianapolis
110 E  Washington St   #1301,,,,Year Built: 2002,2 Car Garage,"$349,000",Indianapolis
3430 Davis Rd,,,,Year Built: 1964,Garage,"$600,000",Indianapolis
2101 E  38th St,,,,Year Built: 1941,No Info,"$170,000",Indianapolis
1856 Irish Lake Ln,,,,Year Built: 2013,2 Car Garage,"$284,900",Indianapolis
2130 N  Bolton Ave,,,,Year Built: 1955,1 Car Garage,"$229,900",Indianapolis
2636 Mingo Ln,,,,Year Built: 2001,2 Car Garage,"$235,000",Indianapolis
Ashton Plan in Trails at Grassy Creek by Arbor Homes,,,,Year Built: 2023,No Info,"$242,995+",Indianapolis
2910 Meredith Ave,,,,Year Built: 1910,None,"$257,900",Indianapolis
,,,,,,,Indianapolis
6767 N  Meridian St,,,,Year Built: 1927,3 Car Garage,"$1,399,000",Indianapolis
10112 Jenna Ln,,,,Year Built: 2016,2 Car Garage,"$349,900",Indianapolis
3512 Nowland Ave,,,,Year Built: 1900,No Info,"$255,000",Indianapolis
540 S  Edgehill Rd,,,,Year Built: 1930,Garage,"$165,000",Indianapolis
,,,,,,,Indianapolis
7618 Silver Moon Way,,,,Year Built: 2008,2 Car Garage,"$286,000",Indianapolis
409 N  Oakland Ave,,,,Year Built: 1910,No Info,"$219,900",Indianapolis
8832 Rockwood Ln,,,,,No Info,"$139,900",Indianapolis
7951 Meadow Bend Cir,,,,Year Built: 1997,2 Car Garage,"$359,000",Indianapolis
,,,,,,,Indianapolis
1121 Trowbridge St,,,,Year Built: 2022,Garage,"$329,000",Indianapolis
,,,,,,,Indianapolis
,,,,,,,Indianapolis
6160 Indianola Ave,,,,Year Built: 1927,Garage,"$309,900",Indianapolis
328 N  Tacoma Ave,,,,Year Built: 2022,No Info,"$325,000",Indianapolis
3160 N  Harding St,,,,Year Built: 1940,Open Parking,"$85,000",Indianapolis
,,,,,,,Indianapolis
3531/3533 Winthrop Ave,,,,Year Built: 1920,No Info,"$325,000",Indianapolis
Legacy 2719 Plan in Highlands at Grassy Creek by Pyatt Builders,,,,Year Built: 2023,Garage,"$320,000+",Indianapolis
2054 Allison Ave,,,,Year Built: 1951,Garage,"$309,900",Indianapolis
,,,,,,,Indianapolis
,,,,,,,Indianapolis
